               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 153,            0.011475,           0.0061464,                   0,             0.99556,             0.98899,             0.99278,             0.70521,            0.019348,           0.0074628,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.011229,           0.0060817,                   0,             0.99119,             0.98684,             0.98846,             0.70915,            0.019196,           0.0075507,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.011044,           0.0059455,                   0,             0.99336,             0.98465,             0.98851,             0.69852,            0.019741,            0.008019,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.011082,           0.0060707,                   0,             0.99339,             0.99339,             0.99334,             0.69518,            0.019823,           0.0078595,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.010961,            0.005978,                   0,             0.99558,             0.99339,             0.99448,             0.69886,            0.020499,           0.0074609,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.011204,           0.0061046,                   0,             0.99558,             0.99339,             0.99489,              0.7054,            0.019725,           0.0077441,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.010516,           0.0059124,                   0,             0.99559,             0.99559,             0.99487,             0.70672,            0.019148,            0.007364,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.010825,           0.0060238,                   0,             0.99559,             0.99559,             0.99493,             0.69874,            0.019601,           0.0077101,                   0,            0.004753,            0.004753,            0.004753
                 161,             0.01092,           0.0058339,                   0,             0.99558,             0.99121,             0.99496,              0.7013,            0.019652,           0.0077072,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.011046,           0.0058962,                   0,             0.99559,             0.99559,             0.99467,             0.70979,            0.019441,            0.007245,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.011159,           0.0059329,                   0,             0.99558,             0.99121,             0.99491,             0.70898,            0.019533,           0.0074743,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.011213,            0.006056,                   0,             0.99338,             0.98901,             0.98767,             0.70344,            0.019808,           0.0075839,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.010988,           0.0057394,                   0,             0.99559,             0.99123,             0.99489,             0.70524,            0.019681,           0.0076363,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.010613,            0.006015,                   0,             0.99338,             0.99119,             0.99371,              0.7001,             0.02027,           0.0078488,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.010408,           0.0059528,                   0,             0.99338,             0.99119,             0.99377,             0.70331,            0.019687,            0.007824,                   0,            0.004522,            0.004522,            0.004522
                 168,             0.01083,           0.0059692,                   0,             0.99779,             0.99123,             0.99493,             0.70195,            0.019417,           0.0076116,                   0,            0.004489,            0.004489,            0.004489
